route_signature,count,kept
west->east,56,1
east->west,32,1
north->east,25,1
east->north,14,1
corner_north_west->east,9,0
corner_south_west->east,7,0
west->interior,7,0
corner_south_west->corner_east_south,7,0
east->corner_north_west,6,0
north->corner_east_south,5,0
west->south,5,0
interior->east,5,0
corner_east_south->corner_south_west,3,0
east->corner_south_west,3,0
corner_east_south->south,2,0
east->south,2,0
west->corner_east_south,2,0
south->corner_north_west,2,0
interior->west,2,0
corner_south_west->north,1,0
interior->north,1,0
west->north,1,0
corner_east_north->east,1,0
north->north,1,0
south->west,1,0
corner_north_west->south,1,0
east->interior,1,0
south->east,1,0
south->corner_east_south,1,0
north->south,1,0
