dataset,method,repeat,elapsed_sec,exit_code,run_dir,eps,minPts,K,noise_ratio,summary_path,command
delta_cog__ais_filtered_2021-01-01_dtw_matrix,twostage,1,0.009028,0,/Users/lcx/Desktop/毕设/复现/dtw_cache/delta_cog/ais_filtered_2021-01-01_dtw_matrix.npy,0.002356,1,30,0.000000,,matrix_mode::twostage(raw_D)
delta_cog__ais_filtered_2021-01-01_dtw_matrix,drl,1,2.335532,0,/Users/lcx/Desktop/毕设/复现/dtw_cache/delta_cog/ais_filtered_2021-01-01_dtw_matrix.npy,0.078520,1,21,0.000000,,matrix_mode::drl(constrained_D)
delta_cog__ais_filtered_2021-01-11_dtw_matrix,twostage,1,0.012262,0,/Users/lcx/Desktop/毕设/复现/dtw_cache/delta_cog/ais_filtered_2021-01-11_dtw_matrix.npy,1.329377,9,1,0.102941,,matrix_mode::twostage(raw_D)
delta_cog__ais_filtered_2021-01-11_dtw_matrix,drl,1,0.016690,0,/Users/lcx/Desktop/毕设/复现/dtw_cache/delta_cog/ais_filtered_2021-01-11_dtw_matrix.npy,0.080612,1,29,0.000000,,matrix_mode::drl(constrained_D)
delta_cog__ais_filtered_2021-02-18_dtw_matrix,twostage,1,0.007267,0,/Users/lcx/Desktop/毕设/复现/dtw_cache/delta_cog/ais_filtered_2021-02-18_dtw_matrix.npy,0.627247,1,7,0.000000,,matrix_mode::twostage(raw_D)
delta_cog__ais_filtered_2021-02-18_dtw_matrix,drl,1,0.013879,0,/Users/lcx/Desktop/毕设/复现/dtw_cache/delta_cog/ais_filtered_2021-02-18_dtw_matrix.npy,0.155424,1,6,0.000000,,matrix_mode::drl(constrained_D)
delta_cog__ais_filtered_2021-02-24_bbox_lat45_47.5_lon-130_-120_dtw_matrix,twostage,1,0.016236,0,/Users/lcx/Desktop/毕设/复现/dtw_cache/delta_cog/ais_filtered_2021-02-24_bbox_lat45_47.5_lon-130_-120_dtw_matrix.npy,0.003682,1,89,0.000000,,matrix_mode::twostage(raw_D)
delta_cog__ais_filtered_2021-02-24_bbox_lat45_47.5_lon-130_-120_dtw_matrix,drl,1,0.016696,0,/Users/lcx/Desktop/毕设/复现/dtw_cache/delta_cog/ais_filtered_2021-02-24_bbox_lat45_47.5_lon-130_-120_dtw_matrix.npy,0.072310,1,71,0.000000,,matrix_mode::drl(constrained_D)
delta_cog__ais_filtered_2021-02-24_dtw_matrix,twostage,1,0.025130,0,/Users/lcx/Desktop/毕设/复现/dtw_cache/delta_cog/ais_filtered_2021-02-24_dtw_matrix.npy,0.003488,1,129,0.000000,,matrix_mode::twostage(raw_D)
delta_cog__ais_filtered_2021-02-24_dtw_matrix,drl,1,0.017846,0,/Users/lcx/Desktop/毕设/复现/dtw_cache/delta_cog/ais_filtered_2021-02-24_dtw_matrix.npy,0.055427,2,4,0.636364,,matrix_mode::drl(constrained_D)
