dataset,method,eps,minPts,K,noise_ratio,DBI_prime,CP_prime,SP_prime,target_k,silhouette_score
k=3_dataset,K-Means,nan,nan,3,0.0000,1.2368,0.8661,1.5594,3,0.5282
k=3_dataset,Agglomerative,nan,nan,3,0.0000,0.6181,0.8877,2.3609,3,0.6259
k=3_dataset,Spectral,nan,nan,3,0.0000,1.2622,0.9479,1.8971,3,-0.5045
k=3(2)_dataset,K-Means,nan,nan,3,0.0000,1.4306,0.8507,1.3173,3,0.3286
k=3(2)_dataset,Agglomerative,nan,nan,3,0.0000,1.1890,1.0632,1.5995,3,0.2702
k=3(2)_dataset,Spectral,nan,nan,3,0.0000,1.4342,0.8582,1.3377,3,-0.4792
k=3(3)_dataset,K-Means,nan,nan,3,0.0000,1.3432,1.2161,1.4987,3,0.3343
k=3(3)_dataset,Agglomerative,nan,nan,3,0.0000,0.5393,1.8288,3.2492,3,0.4118
k=3(3)_dataset,Spectral,nan,nan,3,0.0000,1.4382,1.2834,1.8983,3,-0.4100
k=7_dataset,K-Means,nan,nan,7,0.0000,1.3002,0.8009,1.1152,7,0.3162
k=7_dataset,Agglomerative,nan,nan,7,0.0000,1.0780,0.8707,1.2510,7,0.2934
k=7_dataset,Spectral,nan,nan,7,0.0000,1.2649,0.8555,1.1998,7,-0.5758
k=8_dataset,K-Means,nan,nan,8,0.0000,1.3085,1.1677,1.5807,8,0.3113
k=8_dataset,Agglomerative,nan,nan,8,0.0000,1.0948,1.2088,1.7358,8,0.3084
k=8_dataset,Spectral,nan,nan,8,0.0000,1.3645,1.2640,1.8452,8,-0.5354
